"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"UZB","","ALL","1985","48.13"
"MLT","","ALL","2005","5.45"
"UZB","","ALL","1986","50.66"
"ARM","","ALL","1982","24.23"
"SVK","","ALL","2011","7"
"UKR","","ALL","1990","31.89"
"MLT","","ALL","2012","10.01"
"RUS","","ALL","1992","35.84"
"ALB","","ALL","1988","24.19"
"UKR","","ALL","1985","47.25"
"FIN","","ALL","1981","45.92"
"AND","","ALL","2013","6.56"
"SVK","","ALL","2013","7.35"
"SRB","","ALL","2012","25.99"
"UZB","","ALL","1984","48.38"
"GEO","","ALL","2015","84.57"
"HUN","","ALL","1983","47.04"
"KAZ","","ALL","2012","107.23"
"SVK","","ALL","2012","5.94"
"MLT","","ALL","2013","11.81"
"HUN","","ALL","1980","50.53"
"DNK","","ALL","2003","7.26"
"LVA","","ALL","1984","41.14"
"GBR","","ALL","2003","11.97"
"DNK","","ALL","1995","8.57"
"DNK","","ALL","2006","6.29"
"DNK","","ALL","2001","9.22"
"NOR","","ALL","2002","5.35"
"","CIS","ALL","1983","53.18"
"BIH","","ALL","2009","44.94"
"","CARINFONET","ALL","2014","72.95"
"ROU","","ALL","1996","106.99"
"AND","","ALL","2010","8.28"
"DNK","","ALL","2007","6.5"
"MLT","","ALL","2004","4.49"
"UKR","","ALL","1988","40.38"
"GBR","","ALL","2004","11.76"
"EST","","ALL","2016","14.36"
"","WHO_EURO","ALL","1993","31.65"
"GBR","","ALL","1999","10.54"
"SVN","","ALL","1981","49.52"
"","WHO_EURO","ALL","2014","30.57"
"ROU","","ALL","1993","89.43"
"FIN","","ALL","1983","38.76"
"UKR","","ALL","1986","44.92"
"SVN","","ALL","1982","51.4"
"DNK","","ALL","2008","6.01"
"AUT","","ALL","1982","25.64"
"RUS","","ALL","2014","71.35"
"GRC","","ALL","2005","6.24"
"AZE","","ALL","2009","105.75"
"GEO","","ALL","1995","34.32"
"MLT","","ALL","1994","6.8"
"EST","","ALL","2009","26.83"
"EST","","ALL","2015","15.69"
"SVN","","ALL","1983","48.12"
"FRA","","ALL","1982","28.31"
"UKR","","ALL","1992","34.95"
"ROU","","ALL","2010","86.74"
"ROU","","ALL","1995","102.6"
"BIH","","ALL","2011","35.42"
"DNK","","ALL","2009","5.29"
"GBR","","ALL","1998","10.56"
"DNK","","ALL","1997","10.48"
"SVK","","ALL","1986","38.94"
"","CIS","ALL","2015","67.41"
"","SEEHN","ALL","2006","68.5"
"SVK","","ALL","2010","7.53"
"GEO","","ALL","1993","72.81"
"ROU","","ALL","1991","66.78"
"LTU","","ALL","1987","37.94"
"AND","","ALL","2012","11.66"
"MLT","","ALL","2002","6.06"
"EST","","ALL","2006","31.33"
"GRC","","ALL","2007","5.49"
"LTU","","ALL","1986","39.45"
"FIN","","ALL","1986","31.43"
"MLT","","ALL","2014","10.77"
"ARM","","ALL","2004","51.65"
"IRL","","ALL","1990","17.81"
"CZE","","ALL","2016","4.84"
"ISL","","ALL","1980","10.96"
"MLT","","ALL","2000","4.15"
"GBR","","ALL","2010","12.56"
"CHE","","ALL","2013","5.76"
"FIN","","ALL","1984","36.69"
"DNK","","ALL","2004","6.59"
"NOR","","ALL","2003","7.29"
"KAZ","","ALL","2013","111.29"
"DNK","","ALL","2005","7.29"
"GRC","","ALL","2010","3.92"
"TUR","","ALL","2014","16.91"
"","EU_AFTER_MAY2004","ALL","2015","25.57"
"MLT","","ALL","1999","5.8"
"","EU_AFTER_MAY2004","ALL","2012","29.04"
"BEL","","ALL","2004","10.82"
"SVK","","ALL","2009","8.36"
"NOR","","ALL","2006","5.94"
"KAZ","","ALL","2007","172.5"
"FIN","","ALL","1988","21.79"
"","NORDIC","ALL","2015","6.27"
"GBR","","ALL","2009","13.11"
"FRA","","ALL","1983","25.27"
"TKM","","ALL","2015","56.35"
"FRA","","ALL","2000","10.39"
"DNK","","ALL","2000","11"
"GBR","","ALL","2006","13.63"
"GBR","","ALL","2005","13.57"
"MKD","","ALL","2014","13.68"
"BEL","","ALL","2002","11.72"
"","NORDIC","ALL","1999","7.7"
"SVN","","ALL","1984","46.37"
"GRC","","ALL","2011","4.02"
"MLT","","ALL","1993","7.13"
"ALB","","ALL","2013","16.36"
"","NORDIC","ALL","1989","9.39"
"MCO","","ALL","2015","0"
"NOR","","ALL","2004","6.18"
"BLR","","ALL","2015","39.65"
"DNK","","ALL","1999","11.04"
"FRA","","ALL","1985","20.46"
"GEO","","ALL","1992","39.4"
"MLT","","ALL","2001","4.07"
"UKR","","ALL","1987","43.22"
"UKR","","ALL","1991","32.3"
"","EU_AFTER_MAY2004","ALL","1997","51.54"
"SMR","","ALL","2004","0"
"ROU","","ALL","1994","94.24"
"","SMALL","ALL","2012","9.22"
"AUT","","ALL","1983","24.13"
"ROU","","ALL","1983","60.17"
"UZB","","ALL","1980","57.5"
"MLT","","ALL","1985","3.29"
"FIN","","ALL","2000","10.18"
"","CARINFONET","ALL","2016","63.67"
"IRL","","ALL","1981","29.56"
"BIH","","ALL","2013","32.85"
"SVN","","ALL","2015","6.25"
"","EU_MEMBERS","ALL","1985","25.29"
"PRT","","ALL","1981","73.58"
"AND","","ALL","2008","4.77"
"","EU_AFTER_MAY2004","ALL","2010","32.14"
"FIN","","ALL","1998","12.21"
"AND","","ALL","2009","9.49"
"KAZ","","ALL","2006","173.89"
"PRT","","ALL","2002","42.05"
"HUN","","ALL","2001","28.69"
"HUN","","ALL","2009","12.69"
"","EU_MEMBERS","ALL","2013","12.08"
"","SEEHN","ALL","1995","63.93"
"NOR","","ALL","1997","4.65"
"GRC","","ALL","2008","5.21"
"KGZ","","ALL","2013","123.69"
"DNK","","ALL","2010","5.97"
"GBR","","ALL","2007","13.09"
"","EU_BEFORE_MAY2004","ALL","2016","7.62"
"NOR","","ALL","1996","4.95"
"NOR","","ALL","2005","5.97"
"NOR","","ALL","1992","6.72"
"NOR","","ALL","1991","6.8"
"FRA","","ALL","1989","16.07"
"FRA","","ALL","1987","18.41"
"BIH","","ALL","2001","65.74"
"BGR","","ALL","2016","21.49"
"ISL","","ALL","2009","2.82"
"GRC","","ALL","2006","5.54"
"","EU_AFTER_MAY2004","ALL","2013","27.81"
"NOR","","ALL","1999","4.77"
"UKR","","ALL","2009","78.64"
"LUX","","ALL","1980","19.52"
"SMR","","ALL","2003","3.7"
"ROU","","ALL","1989","63.39"
"UZB","","ALL","2000","63.89"
"","EU_BEFORE_MAY2004","ALL","1996","13.65"
"ROU","","ALL","1980","61.05"
"ISL","","ALL","2015","2.12"
"GBR","","ALL","1996","10.72"
"","EU_AFTER_MAY2004","ALL","1995","51.7"
"AZE","","ALL","1998","59.04"
"","EU_AFTER_MAY2004","ALL","2001","50.32"
"ALB","","ALL","1985","30.97"
"","SMALL","ALL","2008","9.54"
"AND","","ALL","2005","12.87"
"MLT","","ALL","1996","7.51"
"GBR","","ALL","1990","10.32"
"","EU_MEMBERS","ALL","2010","13.89"
"AND","","ALL","1997","29.28"
"AND","","ALL","2002","7.49"
"HUN","","ALL","2007","15.31"
"HUN","","ALL","2011","12.83"
"LTU","","ALL","1984","40.39"
"","EU_MEMBERS","ALL","1984","25.92"
"PRT","","ALL","1982","73.74"
"POL","","ALL","2010","18.41"
"","WHO_EURO","ALL","1999","43.44"
"NOR","","ALL","2000","4.94"
"TKM","","ALL","1983","49.51"
"TJK","","ALL","2014","70"
"ISL","","ALL","2014","2.44"
"ALB","","ALL","2014","14.12"
"ALB","","ALL","1990","19.87"
"FRA","","ALL","1984","22.39"
"FRA","","ALL","1986","19.02"
"RUS","","ALL","1989","42.75"
"PRT","","ALL","1987","70.78"
"AZE","","ALL","2004","65.06"
"LUX","","ALL","1982","11.21"
"AZE","","ALL","2000","64.45"
"AZE","","ALL","2003","46.7"
"SMR","","ALL","2000","3.73"
"AND","","ALL","2011","3.68"
"","SEEHN","ALL","2015","42.03"
"AND","","ALL","2003","15.77"
"AND","","ALL","2004","9.38"
"FRA","","ALL","1990","15.92"
"HUN","","ALL","2005","17.92"
"ESP","","ALL","1981","14.71"
"AZE","","ALL","2011","99.7"
"UZB","","ALL","1998","60.78"
"","NORDIC","ALL","1988","9.7"
"","SMALL","ALL","2016","7.94"
"AND","","ALL","2007","6.08"
"MLT","","ALL","1983","7.29"
"","SMALL","ALL","2007","10.29"
"SWE","","ALL","1984","9.04"
"FIN","","ALL","1995","12.94"
"LVA","","ALL","2011","41.95"
"LVA","","ALL","2009","44.26"
"ESP","","ALL","2006","17.73"
"ALB","","ALL","2012","14.07"
"","CARINFONET","ALL","2015","68.8"
"","SEEHN","ALL","2016","38.86"
"LVA","","ALL","1988","35.35"
"BEL","","ALL","2003","10.25"
"","SEEHN","ALL","2005","72.79"
"UKR","","ALL","1989","39.18"
"ROU","","ALL","1992","79.41"
"","WHO_EURO","ALL","2000","43.28"
"PRT","","ALL","1989","66.61"
"EST","","ALL","2012","19.58"
"","NORDIC","ALL","2001","6.75"
"LTU","","ALL","1993","51.46"
"LTU","","ALL","2015","48.46"
"UKR","","ALL","2014","70.44"
"ALB","","ALL","2011","14.53"
"UZB","","ALL","1990","46.1"
"SMR","","ALL","1997","3.86"
"AZE","","ALL","2002","62.92"
"SMR","","ALL","1998","0"
"MDA","","ALL","2014","114.1"
"UZB","","ALL","2003","94.59"
"ROU","","ALL","1981","60.85"
"HUN","","ALL","2010","15.28"
"","EU_BEFORE_MAY2004","ALL","2014","7.5"
"KAZ","","ALL","2004","189.38"
"ROU","","ALL","1986","56.35"
"HUN","","ALL","2008","14.23"
"ARM","","ALL","1980","24.36"
"DNK","","ALL","1996","9.2"
"FIN","","ALL","1999","10.94"
"KAZ","","ALL","2002","185.44"
"ALB","","ALL","1984","33.61"
"FIN","","ALL","1994","10.87"
"AND","","ALL","1998","12.2"
"KAZ","","ALL","2005","189.01"
"","EU_AFTER_MAY2004","ALL","1987","45.47"
"ALB","","ALL","2007","14.75"
"","WHO_EURO","ALL","2004","43.14"
"LVA","","ALL","2013","43.33"
"LVA","","ALL","2008","48.04"
"BIH","","ALL","2006","47.18"
"BIH","","ALL","2010","34.37"
"GBR","","ALL","1994","10.71"
"GBR","","ALL","1997","10.9"
"NOR","","ALL","1998","5.51"
"","CIS","ALL","1995","52.39"
"GBR","","ALL","2000","10.56"
"ARM","","ALL","1993","17.03"
"SVN","","ALL","1980","57.22"
"NOR","","ALL","1990","6.72"
"FRA","","ALL","1981","30.5"
"AUT","","ALL","2011","8.02"
"FRA","","ALL","1988","16.45"
"LTU","","ALL","1991","42.01"
"ISR","","ALL","2006","4.82"
"UZB","","ALL","1995","43.06"
"CYP","","ALL","2006","4.77"
"AZE","","ALL","1999","58.3"
"UZB","","ALL","2006","90.24"
"LTU","","ALL","2013","53.18"
"MCO","","ALL","2014","0"
"UZB","","ALL","2013","68.82"
"ROU","","ALL","1987","58.24"
"AND","","ALL","2006","15.02"
"UZB","","ALL","2012","49.81"
"HUN","","ALL","2013","10.51"
"AUT","","ALL","2014","6.62"
"FIN","","ALL","1992","13.88"
"","SMALL","ALL","2009","8.92"
"ROU","","ALL","1985","55.78"
"LTU","","ALL","1981","46.58"
"","WHO_EURO","ALL","2007","39.94"
"","EU_AFTER_MAY2004","ALL","1996","52.79"
"GBR","","ALL","1989","10.62"
"MLT","","ALL","1984","4.52"
"GBR","","ALL","1993","11.23"
"","SMALL","ALL","1996","11.35"
"","NORDIC","ALL","2014","5.67"
"","EU_MEMBERS","ALL","2003","20.09"
"HUN","","ALL","2004","22.27"
"HUN","","ALL","2000","30.1"
"DNK","","ALL","2015","5.64"
"PRT","","ALL","1986","66.02"
"PRT","","ALL","1985","68.73"
"PRT","","ALL","1984","69.15"
"","WHO_EURO","ALL","2001","42.45"
"PRT","","ALL","1980","69.54"
"CYP","","ALL","2002","2.82"
"TUR","","ALL","1990","44.39"
"TUR","","ALL","1992","44.67"
"GEO","","ALL","1989","29.73"
"FIN","","ALL","1980","47.01"
"","NORDIC","ALL","1998","7.77"
"NOR","","ALL","2010","6.03"
"RUS","","ALL","1996","75.8"
"UZB","","ALL","2016","52.97"
"AZE","","ALL","2006","66.26"
"AZE","","ALL","2005","71.9"
"","EU_BEFORE_MAY2004","ALL","1991","14.76"
"","CIS","ALL","2013","76.54"
"","EU_BEFORE_MAY2004","ALL","1997","13.49"
"AZE","","ALL","1994","38.41"
"FRA","","ALL","2001","9.82"
"UZB","","ALL","1999","62.03"
"PRT","","ALL","2010","24.61"
"ISL","","ALL","2008","1.88"
"FIN","","ALL","1997","11.15"
"ROU","","ALL","1982","60.45"
"","EU_AFTER_MAY2004","ALL","1993","49.17"
"RUS","","ALL","1986","49.78"
"FIN","","ALL","1990","15.48"
"","EU_AFTER_MAY2004","ALL","1985","49.58"
"","EU_MEMBERS","ALL","1987","23.14"
"BLR","","ALL","2010","53.72"
"EST","","ALL","1985","35.39"
"HUN","","ALL","2003","26.85"
"","EU_MEMBERS","ALL","2012","12.61"
"MLT","","ALL","1981","8.12"
"","CARINFONET","ALL","1983","63.99"
"","SEEHN","ALL","1991","50.02"
"AND","","ALL","1996","26.49"
"DNK","","ALL","1993","7.92"
"IRL","","ALL","1991","18.15"
"","SEEHN","ALL","2004","76.77"
"","SEEHN","ALL","1994","64.11"
"ESP","","ALL","2012","12.14"
"EST","","ALL","2004","39.41"
"FRA","","ALL","2016","7.23"
"KAZ","","ALL","2010","143.35"
"ARM","","ALL","1981","29.8"
"","WHO_EURO","ALL","1983","38.11"
"NOR","","ALL","1986","8.23"
"UZB","","ALL","1982","51.9"
"NOR","","ALL","2007","6.01"
"","NORDIC","ALL","2003","6.23"
"NOR","","ALL","2008","6.23"
"UZB","","ALL","1994","66.27"
"AZE","","ALL","2001","60.39"
"GRC","","ALL","2014","4.4"
"","EU_AFTER_MAY2004","ALL","2004","46.2"
"AZE","","ALL","1996","33.12"
"ROU","","ALL","2015","72.91"
"UZB","","ALL","2004","78.44"
"ROU","","ALL","1984","57.25"
"UZB","","ALL","2002","81.47"
"","WHO_EURO","ALL","1994","33.08"
"BLR","","ALL","1995","47.62"
"FIN","","ALL","1996","12.59"
"FIN","","ALL","1989","19.54"
"FIN","","ALL","1993","10.7"
"PRT","","ALL","2011","23.64"
"AUT","","ALL","1981","27.23"
"BLR","","ALL","2003","60.39"
"ROU","","ALL","1990","70.05"
"ISL","","ALL","2013","3.4"
"PRT","","ALL","2012","23.68"
"ALB","","ALL","1997","19.7"
"","WHO_EURO","ALL","2006","41.28"
"MLT","","ALL","1982","3.99"
"LVA","","ALL","2012","47.14"
"LVA","","ALL","2007","55.76"
"BIH","","ALL","2000","65.61"
"GBR","","ALL","2002","11.61"
"","CARINFONET","ALL","2013","83.6"
"MLT","","ALL","2003","1.76"
"GBR","","ALL","2001","10.21"
"BIH","","ALL","2008","44.74"
"NOR","","ALL","1989","6.03"
"CYP","","ALL","2003","4.85"
"","SMALL","ALL","2011","7.93"
"EST","","ALL","1990","26.96"
"NOR","","ALL","1995","5.41"
"FRA","","ALL","1980","32.02"
"BLR","","ALL","1981","63.9"
"ISR","","ALL","2014","4.55"
"MKD","","ALL","2006","27.5"
"ISR","","ALL","2007","5.52"
"AZE","","ALL","2008","86.35"
"AZE","","ALL","2007","64.34"
"AZE","","ALL","1993","41.4"
"LTU","","ALL","2009","59.91"
"ALB","","ALL","2016","14.29"
"AZE","","ALL","1997","61.5"
"FRA","","ALL","1992","15"
"ROU","","ALL","1988","61.32"
"AUT","","ALL","2016","7.23"
"HUN","","ALL","2006","16.75"
"AND","","ALL","2014","8.24"
"PRT","","ALL","2007","28.04"
"KAZ","","ALL","2008","147.63"
"AUT","","ALL","1984","23.34"
"HUN","","ALL","1997","41.2"
"BEL","","ALL","1990","15.82"
"MLT","","ALL","1995","2.97"
"","NORDIC","ALL","1982","16.83"
"MLT","","ALL","1992","8.3"
"ESP","","ALL","2000","19.9"
"BEL","","ALL","1993","14.91"
"","WHO_EURO","ALL","2005","42.07"
"HUN","","ALL","2002","26.78"
"ALB","","ALL","2009","15.2"
"","WHO_EURO","ALL","2003","50.8"
"ALB","","ALL","1996","22.48"
"AZE","","ALL","2010","83.39"
"PRT","","ALL","1988","63.51"
"PRT","","ALL","1983","70.84"
"ESP","","ALL","1987","24.45"
"POL","","ALL","2007","21.04"
"CZE","","ALL","2008","7.74"
"ESP","","ALL","1988","21.89"
"TUR","","ALL","1996","33.31"
"GBR","","ALL","1995","10.64"
"CHE","","ALL","2007","5.56"
"TKM","","ALL","2016","38.69"
"MKD","","ALL","2005","29.36"
"UKR","","ALL","2016","65.1"
"","CIS","ALL","1997","73.39"
"SVK","","ALL","2005","13.18"
"","EU_AFTER_MAY2004","ALL","2011","31.05"
"","EU_BEFORE_MAY2004","ALL","1990","15.15"
"","EU_BEFORE_MAY2004","ALL","1994","15.26"
"RUS","","ALL","2004","84.43"
"BIH","","ALL","2016","23.86"
"","SMALL","ALL","2015","7.35"
"FRA","","ALL","1994","15.7"
"UZB","","ALL","2001","69.66"
"","SMALL","ALL","2001","10.3"
"FIN","","ALL","1991","15.38"
"","NORDIC","ALL","2008","5.89"
"","EU_MEMBERS","ALL","2004","17.76"
"AUT","","ALL","1999","13.58"
"LVA","","ALL","1980","47.54"
"GRC","","ALL","2004","6.64"
"AZE","","ALL","1983","49.21"
"ESP","","ALL","2014","10.42"
"ITA","","ALL","1988","6.28"
"GBR","","ALL","1991","10.6"
"MLT","","ALL","1980","7.55"
"","WHO_EURO","ALL","1989","31.63"
"AND","","ALL","1999","15.17"
"AND","","ALL","2001","15.13"
"","CARINFONET","ALL","2010","89.29"
"BEL","","ALL","1995","13.61"
"BEL","","ALL","1991","14.61"
"LVA","","ALL","1982","42.55"
"BEL","","ALL","2005","10.27"
"IRL","","ALL","1983","26.34"
"BIH","","ALL","2014","31.33"
"LVA","","ALL","1986","37.77"
"KGZ","","ALL","1980","54.54"
"DEU","","ALL","1991","16.85"
"SWE","","ALL","2014","6.54"
"","EU_MEMBERS","ALL","2016","10.95"
"NOR","","ALL","1987","7.33"
"FIN","","ALL","1985","37.11"
"BEL","","ALL","1986","19.19"
"FIN","","ALL","1982","44.96"
"","NORDIC","ALL","2007","5.66"
"LTU","","ALL","1994","58.38"
"","EU_AFTER_MAY2004","ALL","1986","47.18"
"SMR","","ALL","1994","8.16"
"FRA","","ALL","2015","6.98"
"","CIS","ALL","2014","70.41"
"UZB","","ALL","2007","73.62"
"","EU_MEMBERS","ALL","2015","11.24"
"","SEEHN","ALL","1993","60.4"
"","NORDIC","ALL","2011","6"
"GEO","","ALL","1986","34.62"
"","SEEHN","ALL","1989","49.94"
"AZE","","ALL","2016","52.28"
"","EU_AFTER_MAY2004","ALL","1989","41.69"
"HUN","","ALL","1994","40.25"
"","NORDIC","ALL","2009","6.33"
"","CARINFONET","ALL","2001","103.26"
"PRT","","ALL","2006","30.64"
"POL","","ALL","2013","18.52"
"RUS","","ALL","2000","97.35"
"AUT","","ALL","1993","16.03"
"DEU","","ALL","2003","8.51"
"SVK","","ALL","2007","11.52"
"GBR","","ALL","2015","9.05"
"LVA","","ALL","2010","43.53"
"NOR","","ALL","1983","9.59"
"SVK","","ALL","2002","18.13"
"GBR","","ALL","2008","13.43"
"EST","","ALL","1991","26"
"","WHO_EURO","ALL","2013","32.86"
"NOR","","ALL","2001","6.11"
"CYP","","ALL","1999","5.68"
"TKM","","ALL","1981","55.39"
"","SMALL","ALL","2013","9.05"
"TKM","","ALL","1980","57.9"
"CYP","","ALL","2010","7.31"
"NOR","","ALL","1994","5.58"
"","CIS","ALL","1986","50.85"
"MDA","","ALL","2002","104.03"
"LUX","","ALL","2000","10.03"
"AUT","","ALL","1990","19.81"
"ISR","","ALL","2005","5.35"
"POL","","ALL","1984","61.03"
"POL","","ALL","1986","55.01"
"","EU_AFTER_MAY2004","ALL","2006","41.01"
"BLR","","ALL","2016","33.87"
"","SMALL","ALL","2002","9.45"
"","SEEHN","ALL","1987","50.22"
"FRA","","ALL","1996","13.12"
"","EU_AFTER_MAY2004","ALL","1990","42.65"
